Course List,High,Low,Lowest
"Inisiatif, Proaktif, Bertanggung jawab",Siswa dapat secara aktif melaporkan progress dan kendala yang dihadapi selama program,Siswa cukup aktif melaporkan progress dan kendala yang dihadapi selama program,Siswa perlu lebih aktif melaporkan progress dan kendala yang dihadapi selama program
Bahasa Inggris,Siswa dapat berkomunikasi dan memahami materi berbahasa Inggris dengan lancar dan efektif,Siswa dapat berkomunikasi dan cukup memahami materi berbahasa Inggris dengan lancar dan efektif,Siswa perlu lebih meningkatkan kemampuan berkomunikasi dan memahami materi berbahasa Inggris dengan lancar dan efektif
Tugas Soft skills,"Siswa mengerti dengan baik terkait Life Path, Growth Mindset, The Power of Feedback, Time Management, Critical Thinking, Problem Solving, Adaptability, Resilience, Project Management, Professional Communication, Networking, Digital Branding, and Interview Communication","Siswa cukup mengerti terkait Life Path, Growth Mindset, The Power of Feedback, Time Management, Critical Thinking, Problem Solving, Adaptability, Resilience, Project Management, Professional Communication, Networking, Digital Branding, and Interview Communication","Pemahaman siswa terkait Life Path, Growth Mindset, The Power of Feedback, Time Management, Critical Thinking, Problem Solving, Adaptability, Resilience, Project Management, Professional Communication, Networking, Digital Branding, and Interview Communication, perlu ditingkatkan"
Pembelajaran Soft skills dan Penyiapan Karir atau startup,Siswa mampu menyimpulkan dan memilih jalur karier pada bidang Software Development yang sesuai dengan diri mereka beserta mengerti hal-hal yang harus mereka persiapkan untuk mencapai dan menjalani karier tersebut,Siswa cukup baik dalam menyimpulkan dan memilih jalur karier pada bidang Software Development yang sesuai dengan diri mereka beserta mengerti hal-hal yang harus mereka persiapkan untuk mencapai dan menjalani karier tersebut,Siswa perlu lebih meningkatkan kemampuan menyimpulkan dan memilih jalur karier pada bidang Software Development yang sesuai dengan diri mereka beserta mengerti hal-hal yang harus mereka persiapkan untuk mencapai dan menjalani karier tersebut.
Review Materi,Siswa dapat menunjukkan kompetensi dalam materi teknikal yang telah dipelajari,Siswa cukup dapat menunjukkan kompetensi dalam materi teknikal yang telah dipelajari.,Siswa kurang menunjukkan kompetensi dalam materi teknikal yang telah dipelajari sehingga perlu lebih meningkatkan kompetensinya.
Refleksi diri,Siswa mampu menceritakan kembali dan melaporkan hal yang didapatkan selama proses pembelajaran dalam bentuk lisan dan tulisan,Siswa cukup baik dalam menceritakan kembali dan melaporkan hal yang didapatkan selama proses pembelajaran dalam bentuk lisan dan tulisan,Siswa perlu meningkatkan kemampuan untuk menceritakan kembali dan melaporkan hal yang didapatkan selama proses pembelajaran dalam bentuk lisan dan tulisan
Belajar Dasar Pemrograman JavaScript,Siswa telah mampu membuat program dengan JavaScript menggunakan Node.js dan Text Editor seperti Visual Studio Code.,Siswa cukup mampu membuat program dengan JavaScript menggunakan Node.js dan Text Editor seperti Visual Studio Code.,Siswa perlu meningkatkan membuat program dengan JavaScript menggunakan Node.js dan Text Editor seperti Visual Studio Code.
Belajar Dasar Pemrograman Web,Siswa mampu membuat sebuah website sederhana menggunakan kode pemrograman yang sesuai standar global,"Siswa cukup memiliki kemampuan untuk membuat sebuah website
sederhana menggunakan kode pemrograman yang sesuai standar global",Siswa mampu membuat sebuah website sederhana menggunakan kode pemrograman yang sesuai standar global
Belajar Membuat Aplikasi Back-End untuk Pemula dengan Google Cloud,Siswa mampu membuat RESTful API sederhana secara mandiri untuk mendukung fungsionalitas suatu aplikasi,Siswa cukup mampu membuat RESTful API sederhana secara mandiri untuk mendukung fungsionalitas suatu aplikasi,Siswa perlu meningkatkan kemampuan membuat RESTful API sederhana secara mandiri untuk mendukung fungsionalitas suatu aplikasi
Google Cloud Computing Foundations,Siswa dengan cakap dapat menerapkan keterampilan dasar devops,Siswa cukup dapat menerapkan keterampilan dasar devops,Siswa perlu meningkatkan kecakapan dalam menerapkan keterampilan dasar devops
